OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,USGS-09424434,"BURRO CREEK ABV BOULDER CREEK NR BAGDAD,AZ",Stream,,15030202,,,,,34.61807347000000,-113.2993676000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09424435,"BOULDER CREEK BLW WARM SPRING CREEK NR BAGDAD,AZ",Stream,,15030202,,,,,34.62946384000000,-113.1513063000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09424436,"BOULDER CREEK ABV COPPER CREEK NR BAGDAD,AZ",Stream,,15030202,,,,,34.60751884000000,-113.2315870000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09424437,"COPPER CREEK NR MOUTH NR BAGDAD, AZ.",Stream,,15030202,,,,,34.60640775000000,-113.2313093000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09424440,"BOULDER CREEK NR MOUTH NR BAGDAD,AZ.",Stream,,15030202,,,,,34.61251798000000,-113.2993675000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09424470,"KIRKLAND CREEK NEAR KIRKLAND, AZ",Stream,,15030203,109.00,sq mi,,,34.39391400000000,-112.7226777000000,,10,seconds,Interpolated from MAP.,NAD83,3900.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09438000,GILA RIVER A N.MEX-ARIZ ST LINE,Stream,,15040002,3360,sq mi,,,32.68673920000000,-109.0478392000000,,1,seconds,Interpolated from MAP.,NAD83,3680.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,011,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09442000,"GILA RIVER NEAR CLIFTON, AZ",Stream,,15040002,4010.00,sq mi,,,32.96527778000000,-109.3086111000000,,1,seconds,Interpolated from Digital MAP.,NAD83,3336.38,feet,20,feet,Unknown.,NGVD29,US,04,011,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09444200,"BLUE RIVER NEAR CLIFTON, AZ.",Stream,,15040004,506,sq mi,,,33.29089456000000,-109.1961832000000,,10,seconds,Interpolated from MAP.,NAD83,4160.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,011,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09444500,"SAN FRANCISCO RIVER AT CLIFTON, AZ.",Stream,,15040004,2766.00,sq mi,2763,sq mi,33.04950776000000,-109.2959047000000,,10,seconds,Interpolated from MAP.,NAD83,3436.16,feet,20,feet,Unknown.,NGVD29,US,04,011,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09444600,"SAN FRANCISCO RIVER NEAR CLIFTON, ARIZ.",Stream,,15040004,,,,,33.02589676000000,-109.3022934000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,011,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09470490,San Pedro River at Palominas-USGS transect,Stream,,15050202,,,,,31.36954570000000,-110.1181326000000,,1,seconds,Interpolated from MAP.,NAD83,4240,feet,12,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09470500,"SAN PEDRO RIVER AT PALOMINAS, AZ.",Stream,,15050202,737.00,sq mi,737.00,sq mi,31.38010095000000,-110.1111882000000,,10,seconds,Interpolated from MAP.,NAD83,4187.62,feet,20,feet,Unknown.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09470800,"GARDEN CANYON NEAR FORT HUACHUCA, AZ",Stream,,15050202,8.38,sq mi,,,31.47287518000000,-110.3478588000000,,10,seconds,Interpolated from MAP.,NAD83,5400,feet,20,feet,Interpolated from topographic map.,NAVD88,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09471000,"SAN PEDRO RIVER AT CHARLESTON, AZ.",Stream,,15050202,1234.00,sq mi,1234.00,sq mi,31.62592644000000,-110.1745226000000,,10,seconds,Interpolated from MAP.,NAD83,3954.01,feet,20,feet,Unknown.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09471550,"SAN PEDRO RIVER NEAR TOMBSTONE, AZ",Stream,,15050202,1740,sq mi,1740,sq mi,31.75092240000000,-110.2011882000000,24000,10,seconds,Interpolated from MAP.,NAD83,3780.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09471820,"SAN PEDRO RIVER CSA NEAR BENSON, ARIZONA",Stream,,15050203,,,,,32.14366667000000,-110.2915556000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,3289.93,feet,0.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09471840,"SAN PEDRO RIVER CSA NR CASCABEL, ARIZONA",Stream,,15050203,,,,,32.26083333000000,-110.3483333000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3150,feet,.1,feet,Global Positioning System.,NAVD88,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09502800,"WILLIAMSON VALLEY WASH NEAR PAULDEN, AZ",Stream,,15060201,255,sq mi,,,34.86668650000000,-112.6132308000000,,10,seconds,Interpolated from MAP.,NAD83,4455.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09502960,"GRANITE CREEK AT PRESCOTT, AZ",Stream,,15060202,30,sq mi,,,34.55196864000000,-112.4623913000000,24000,5,seconds,Interpolated from MAP.,NAD83,5285.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09503000,"GRANITE CREEK NEAR PRESCOTT, AZ",Stream,,15060202,36.3,sq mi,,,34.56307975000000,-112.4448909000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5204.29,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09503700,"VERDE RIVER NEAR PAULDEN, AZ",Stream,,15060202,2507,sq mi,2150,sq mi,34.89502016000000,-112.3429468000000,,10,seconds,Interpolated from MAP.,NAD83,4117.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09504000,"VERDE RIVER NEAR CLARKDALE, AZ",Stream,,15060202,3503,sq mi,3124,sq mi,34.85224160000000,-112.0659940000000,,.1,seconds,Interpolated from MAP.,NAD83,3500.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09504200,"VERDE RIVER NR CORNVILLE, AZ",Stream,,15060202,,,,,34.68279984000000,-111.9584886000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09504440,"OAK CREEK AT RED ROCK CROSSING NR SEDONA, AZ",Stream,,15060202,,,,,34.82446290000000,-111.8062666000000,24000,10,seconds,Interpolated from MAP.,NAD83,3950.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09504500,"OAK CREEK NEAR CORNVILLE, AZ",Stream,,15060202,355,sq mi,,,34.76446436000000,-111.8909885000000,,10,seconds,Interpolated from MAP.,NAD83,3470.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09505200,"WET BEAVER CREEK NEAR RIMROCK, AZ",Stream,,15060202,111,sq mi,,,34.67474409000000,-111.6720940000000,,10,seconds,Interpolated from MAP.,NAD83,4020.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09505250,"RED TANK DRAW NEAR RIMROCK, AZ",Stream,,15060202,48.00,sq mi,,,34.69529900000000,-111.7143174000000,,10,seconds,Interpolated from MAP.,NAD83,3920.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09505300,"RATTLESNAKE CANYON NEAR RIMROCK, AZ",Stream,,15060202,24.60,sq mi,,,34.76696436000000,-111.6737629000000,,10,seconds,Interpolated from MAP.,NAD83,4870.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09505350,"DRY BEAVER CREEK NEAR RIMROCK, AZ",Stream,,15060202,142,sq mi,,,34.72863146000000,-111.7757080000000,,10,seconds,Interpolated from MAP.,NAD83,3694.38,feet,20,feet,Unknown.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09505550,"VERDE RIVER BELOW CAMP VERDE, AZ",Stream,,15060203,4653.00,sq mi,4288,sq mi,34.55058050000000,-111.8512620000000,,10,seconds,Interpolated from MAP.,NAD83,3045.10,feet,20,feet,Unknown.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09505570,"VERDE RIVER ABV W. CLEAR CREEK, NR CAMP VERDE, AZ",Stream,,15060203,4682.45,sq mi,4328.5,sq mi,34.50558157000000,-111.8354274000000,24000,5,seconds,Interpolated from MAP.,NAD83,3000.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09505800,"WEST CLEAR CREEK NEAR CAMP VERDE, AZ",Stream,,15060203,241,sq mi,,,34.53863606000000,-111.6940356000000,,10,seconds,Interpolated from MAP.,NAD83,3630.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09506000,"VERDE RIVER NEAR CAMP VERDE, AZ",Stream,,15060203,5009,sq mi,4645,sq mi,34.44836050000000,-111.7898705000000,24000,1,seconds,Interpolated from MAP.,NAD83,2874.10,feet,1,feet,Unknown.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09507500,"FOSSIL CR DIV TO CHILDS POWERPLANT, NR CAMP VERDE",Stream,,15060203,,,,,34.36836260000000,-111.6662568000000,,10,seconds,Interpolated from MAP.,NAD83,3716.2,feet,20,feet,Unknown.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09508500,"VERDE RVR BLW TANGLE CREEK, ABV HORSESHOE DAM, AZ",Stream,,15060203,5858,sq mi,5494,sq mi,34.07309220000000,-111.7162569000000,,10,seconds,Interpolated from MAP.,NAD83,2029.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09512500,"AGUA FRIA RIVER NEAR MAYER, AZ",Stream,,15070102,585,sq mi,585,sq mi,34.31530730000000,-112.0640455000000,,10,seconds,Interpolated from MAP.,NAD83,3434.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09512600,TURKEY CREEK NEAR CLEATOR ARIZONA,Stream,,15070102,89.40,sq mi,,,34.28225200000000,-112.2076612000000,,10,seconds,Interpolated from MAP.,NAD83,3140.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09512800,"AGUA FRIA RIVER NEAR ROCK SPRINGS, AZ",Stream,,15070102,1111,sq mi,1111,sq mi,34.01558948000000,-112.1679378000000,24000,10,seconds,Interpolated from MAP.,NAD83,1800,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09512830,BOULDER CREEK NR ROCK SPRINGS AZ.,Stream,,15070102,37.80,sq mi,,,33.99864490000000,-112.2165508000000,,10,seconds,Interpolated from MAP.,NAD83,1890,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09512860,"HUMBUG CREEK, NEAR CASTLE HOT SPRINGS, AZ",Stream,,15070102,59.9,sq mi,,,33.96725579000000,-112.2934977000000,,10,seconds,Interpolated from MAP.,NAD83,1790,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09512970,"COTTONWOOD CREEK NEAR WADDELL DAM, AZ",Stream,,15070102,9.28,sq mi,,,33.89864530000000,-112.3115529000000,,10,seconds,Interpolated from MAP.,NAD83,1660,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09515500,HASSAYAMPA RIVER AT BOX DAMSITE NR WICKENBURG AZ,Stream,,15070103,417.00,sq mi,,,34.04502910000000,-112.7098996000000,,10,seconds,Interpolated from MAP.,NAD83,2236.12,feet,20,feet,Unknown.,NGVD29,US,04,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09537500,"WHITEWATER DRAW NEAR DOUGLAS, AZ.",Stream,,15080301,1023,sq mi,,,31.35232457000000,-109.5850677000000,,10,seconds,Interpolated from MAP.,NAD83,3909.14,feet,20,feet,Unknown.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312002109154601,D-24-30 23BBA1 UNSURV,Well,,15080302,,,,,31.33427080000000,-109.2639488000000,24000,5,seconds,Interpolated from MAP.,NAD83,3715.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1926,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312003109154601,D-24-30 23BBA2,Well,,15080302,,,,,31.33427080000000,-109.2642265000000,24000,5,seconds,Interpolated from MAP.,NAD83,3715.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312006109180601,D-24-30 16CCC,Well,,15080302,,,,,31.33482618000000,-109.3003386000000,24000,5,seconds,Interpolated from MAP.,NAD83,3796.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,Basement,,1971,100,ft,100,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312006110075501,D-24-22 20BBA,Well,,15050202,,,,,31.33510235000000,-110.1325769000000,24000,5,seconds,Interpolated from MAP.,NAD83,4295.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1952,272,ft,272,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312010109161601,D-24-30 15DDB  UNSURV,Well,,15080302,,,,,31.33732620000000,-109.2717268000000,24000,5,seconds,Interpolated from MAP.,NAD83,3749.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312011109164201,D-24-30 15CDC2 UNSURV,Spring,,15080302,,,,,31.33677066000000,-109.2789492000000,24000,5,seconds,Interpolated from MAP.,NAD83,3774.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312014109153801,D-24-30 11CAD,Well,,15080302,,,,,31.33732627000000,-109.2611709000000,24000,5,seconds,Interpolated from MAP.,NAD83,3775.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312016109533601,D-24-24 15CCC,Well,,15050202,,,,,31.33788003000000,-109.9022956000000,24000,5,seconds,Interpolated from MAP.,NAD83,4625.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312019109280801,D-24-28 14CDA,Well,,15080301,,,,,31.33871424000000,-109.4695097000000,24000,5,seconds,Interpolated from MAP.,NAD83,4280.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,190,ft,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312022109160801,D-24-30 15DAD  UNSURV,Well,,15080302,,,,,31.33871508000000,-109.2703379000000,24000,5,seconds,Interpolated from MAP.,NAD83,3754.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,550,ft,550,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312022109554201,D-24-24 17CDA,Well,,15050202,,,,,31.33954664000000,-109.9289627000000,24000,5,seconds,Interpolated from MAP.,NAD83,4581.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312023109570601,D-24-24 18CCB,Well,,15050202,,,,,31.33990773000000,-109.9521854000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,4590.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312025109155101,TWIN POND AT SAN BERNARDINO NWR,"Lake, Reservoir, Impoundment",,15080302,,,,,31.34038170000000,-109.2647822000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312026109155201,D-24-30 14CBD  UNSURV,Well,,15080302,,,,,31.34010395000000,-109.2656155000000,24000,5,seconds,Interpolated from MAP.,NAD83,3739.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,541,ft,583,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312027110165601,D-24-20 14DBC,Spring,,15050202,,,,,31.34090760000000,-110.2827733000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6175.,feet,13,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312034109563201,D-24-24 18DBB2,Well,,15050202,,,,,31.34287988000000,-109.9428519000000,24000,5,seconds,Interpolated from MAP.,NAD83,4540.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1930,312,ft,312,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312036109261601,D-24-29E18ABD,Well,,15080301,,,,,31.34760300000000,-109.4292309000000,24000,5,seconds,Interpolated from MAP.,NAD83,4488.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1952,200,ft,200,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312039109561001,D-24-24 18ADD,Well,,15050202,,,,,31.34537980000000,-109.9364629000000,24000,5,seconds,Interpolated from MAP.,NAD83,4570.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,178,ft,178,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312042109032501,D-24-32 14ACB,Well,,15080302,,,,,31.34427206000000,-109.0564429000000,24000,5,seconds,Interpolated from MAP.,NAD83,4317.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,28,ft,28,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312044109154101,D-24-30 14BDB  UNSURV,Well,,15080302,,,,,31.34510380000000,-109.2620044000000,24000,5,seconds,Interpolated from MAP.,NAD83,3742.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312046109332701,D-24-27 13BBD1,Well,,15080301,,,,,31.34621370000000,-109.5581227000000,24000,5,seconds,Interpolated from MAP.,NAD83,3970.0,feet,.5,feet,Level or other surveyed method.,NGVD29,US,04,003,,,,191805,250,ft,250,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312048110120301,D-24-21 15BAC,Well,,15050202,,,,,31.34787974000000,-110.2023835000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,4626.,feet,12,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19721219,403,ft,403,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312049109573401,D-24-23 13ABC2,Well,,15050202,,,,,31.34721308000000,-109.9601856000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4540.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,333,ft,333,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312052109572901,D-24-23 13ABD1,Well,,15050202,,,,,31.34837970000000,-109.9582689000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4535.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19560120,,,600,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312052109573501,D-24-23 13ACB,Well,,15050202,,,,,31.34704640000000,-109.9603523000000,24000,5,seconds,Interpolated from MAP.,NAD83,4540.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,337,ft,337,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312053109573501,D-24-23 13ABC1,Well,,15050202,,,,,31.34846304000000,-109.9596856000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4535.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,300,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312055110162201,D-24-20 13BBC,Spring,,15050202,,,,,31.34850000000000,-110.2728333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5575.,feet,13,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312056109364801,D-24-27 17AAD1,Well,,15080301,,,,,31.34732464000000,-109.6142349000000,24000,5,seconds,Interpolated from MAP.,NAD83,3979.40,feet,1,feet,Level or other surveyed method.,NGVD29,US,04,003,,,,1907,65,ft,65,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312058109582101,D-24-23 14AAB,Well,,15050202,,,,,31.34954634000000,-109.9731303000000,24000,5,seconds,Interpolated from MAP.,NAD83,4515.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,Quaternary Alluvium,,,85,ft,85,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312059109573501,D-24-23 13ABC3,Well,,15050202,,,,,31.34871303000000,-109.9597412000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,4530.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1959,,,337,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312100109134901,D 24 31 07CCD,Well,,15080302,,,,,31.35010388000000,-109.2308925000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312101109552801,D-24-24 17ABB,Well,,15050202,,,,,31.35037967000000,-109.9250739000000,24000,5,seconds,Interpolated from MAP.,NAD83,4620.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312102109105001,D-24-31 03BAB,Well,,15080302,,,,,31.35065980000000,-109.1811688000000,24000,5,seconds,Interpolated from MAP.,NAD83,4040.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1900,250,ft,250,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312103109574701,D-24-23 13BAA,Well,,15050202,,,,,31.35093519000000,-109.9636857000000,24000,5,seconds,Interpolated from MAP.,NAD83,4561.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,261,ft,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312103110152601,D-24-20 13AAA1,Spring,,15050202,,,,,31.35075000000000,-110.2573333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5625.,feet,13,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312103110152602,D-24-20 13AAA2,Spring,,15050202,,,,,31.35077778000000,-110.2571111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5700.,feet,13,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312108109345601,D-24-27 10DDB,Well,,15080301,,,,,31.35232457000000,-109.5828454000000,24000,5,seconds,Interpolated from MAP.,NAD83,3920.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1948,24,ft,24,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312108110162301,D-24-20 12CCC,Spring,,15050202,,,,,31.35230556000000,-110.2730000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5825.,feet,13,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312113109533301,D-24-24 10DCB,Well,,15050202,,,,,31.35371290000000,-109.8931289000000,24000,5,seconds,Interpolated from MAP.,NAD83,4684.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,195704,220,ft,220,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-312123109351101,D-24-27 10DBB1,Well,,15080301,,,,,31.35565779000000,-109.5872900000000,24000,5,seconds,Interpolated from MAP.,NAD83,3922.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19420101,334,ft,334,ft,NWIS
